iter	RMSE
0	0.9059456278
1	0.9045944553
2	0.9033739944
3	0.9023635809
4	0.9013854652
5	0.9002258597
6	0.8993614312
7	0.8982968255
8	0.8974804667
9	0.8966483648
10	0.8957500246
11	0.8951698819
12	0.8945689249
13	0.8938303698
14	0.8930342457
15	0.8924919243
16	0.8919412456
17	0.8915862317
18	0.890985065
19	0.8904734001
20	0.8897631753
21	0.8891747212
22	0.8884593329
23	0.887840194
24	0.8872455638
25	0.886673344
26	0.8860442041
27	0.8855008817
28	0.8848108951
29	0.884388415
30	0.8837435119
31	0.8830927353
32	0.8823714407
33	0.8817943028
34	0.8812789855
35	0.8808777494
36	0.8804704522
37	0.8802776446
38	0.880000881
39	0.8796723213
40	0.8793015532
41	0.8788241264
42	0.8783755271
43	0.8779433848
44	0.877656371
45	0.8770953788
46	0.8767056822
47	0.8764391859
48	0.8759370822
49	0.8755498515
50	0.8751709468
51	0.8747536909
52	0.8744449383
53	0.8741670419
54	0.8737196156
55	0.8733349425
56	0.8731297168
57	0.8726828921
58	0.8724926012
59	0.8721225587
60	0.8718502426
61	0.871339201
62	0.8709426268
63	0.8706343806
64	0.8703379392
65	0.8700789906
66	0.8699050592
67	0.8696433887
68	0.8693151494
69	0.8690609478
70	0.8687969588
71	0.8685708954
72	0.8682708254
73	0.8680477555
74	0.8677436346
75	0.8673644858
76	0.8670837116
77	0.8667908756
78	0.8665880675
79	0.8662201066
80	0.8660455102
81	0.8655361063
82	0.8653232532
83	0.8650599384
84	0.8646464838
85	0.8642414452
86	0.8638031506
87	0.8635269281
88	0.8631247656
89	0.8629833214
90	0.8628420497
91	0.8625609888
92	0.8621976033
93	0.8619484879
94	0.8616458105
95	0.8615630112
96	0.8613360586
97	0.8610523334
98	0.8607526498
99	0.8606617766
100	0.8605242551
101	0.8602560961
102	0.8599312644
103	0.859717744
104	0.8594876767
105	0.85936783
106	0.8591040973
107	0.8588069318
108	0.8585509887
109	0.858156461
110	0.8580110148
111	0.857775655
112	0.8575031061
113	0.8573076351
114	0.85707766
115	0.8569611124
116	0.8567140604
117	0.8564895668
118	0.8561778122
119	0.8559487306
120	0.8556876312
121	0.8554526101
122	0.8551245772
123	0.8548761745
124	0.8546197457
125	0.8544825695
126	0.8541322676
127	0.8538753804
128	0.8536892648
129	0.8534578053
130	0.8531303979
131	0.8527857901
132	0.852536615
133	0.8522811856
134	0.8520821741
135	0.8519424728
136	0.851639699
137	0.8512997873
138	0.8510521693
139	0.8508878664
140	0.8506145644
141	0.8504599825
142	0.8502307562
143	0.8500829258
144	0.849829137
145	0.849553726
146	0.8491488557
147	0.8488684969
148	0.8487356582
149	0.8485240209
150	0.8482144481
151	0.8479579921
152	0.8477779962
153	0.8473287388
154	0.8472043198
155	0.8468341307
156	0.8466027161
157	0.8463445438
158	0.8461473423
159	0.8459846264
160	0.8457018373
161	0.8454171812
162	0.845290569
163	0.8449758744
164	0.8446988934
165	0.8445283786
166	0.8442650165
167	0.8440846549
168	0.8438238356
169	0.8435291147
170	0.8432833929
171	0.8430804861
172	0.8427659657
173	0.8423862868
174	0.8420646849
175	0.8418238435
176	0.8416413304
177	0.8414526839
178	0.8411832338
179	0.8409331401
180	0.8405293551
181	0.8403763785
182	0.8401334752
183	0.8397247853
184	0.8392899881
185	0.8391168275
186	0.8389071314
187	0.8387140693
188	0.8384464495
189	0.8381979163
190	0.838093669
191	0.8379866571
192	0.8379020136
193	0.8376716637
194	0.8374331359
195	0.8370593751
196	0.8367589932
197	0.8364133287
198	0.836212077
199	0.8359691018
200	0.8358153142
201	0.8356213643
202	0.8354126941
203	0.8351616246
204	0.8350235992
205	0.8347384898
206	0.8345937096
207	0.8344132401
208	0.8341278369
209	0.8339957469
210	0.8337823435
211	0.83344663
212	0.83313775
213	0.8328445484
214	0.832605763
215	0.8323373745
216	0.8321286087
217	0.8318257194
218	0.8315908091
219	0.8313953335
220	0.8311179062
221	0.8308483387
222	0.8305790567
223	0.8303116783
224	0.8300649474
225	0.8297589699
226	0.8295983573
227	0.8292083573
228	0.829008202
229	0.828726499
230	0.8284018424
231	0.8281614104
232	0.8280560685
233	0.82793515
234	0.827787363
235	0.8275581483
236	0.827364128
237	0.8270420077
238	0.8268042516
239	0.8265760282
240	0.8263839906
241	0.826133747
242	0.8260699625
243	0.8257786273
244	0.8256234122
245	0.8254331934
246	0.8252530608
247	0.8250033263
248	0.8248128977
249	0.8246697997
250	0.8242861649
251	0.8240318458
252	0.8238087435
253	0.8235340276
254	0.823397015
255	0.8232019214
256	0.8231085451
257	0.8229755608
258	0.822772197
259	0.8225161318
260	0.8223164351
261	0.8220899562
262	0.822029983
263	0.8218882421
264	0.8216924843
265	0.8214218637
266	0.8213109743
267	0.8210641837
268	0.8208245063
269	0.82057427
270	0.8203807125
271	0.8202557814
272	0.8201011054
273	0.8199883434
274	0.8197196996
275	0.8195650318
276	0.8194455519
277	0.8191956152
278	0.8188647546
279	0.818736434
280	0.8185973117
281	0.8184499058
282	0.8182177051
283	0.8180258269
284	0.8177923851
285	0.8175400176
286	0.8172821028
287	0.8171343604
288	0.8169755462
289	0.8167590847
290	0.8165832952
291	0.8163705089
292	0.8161400095
293	0.8159056074
294	0.8156918302
295	0.8155672081
296	0.815445758
297	0.8153160784
298	0.815196289
299	0.8149551656
300	0.8146867077
301	0.8144880114
302	0.8143589356
303	0.8141467732
304	0.8139019297
305	0.8137180003
306	0.8135191121
307	0.8133088093
308	0.8130976483
309	0.8129252399
310	0.8127480923
311	0.8125077516
312	0.812283243
313	0.8121713188
314	0.8120684326
315	0.8117730753
316	0.8114980922
317	0.8113157267
318	0.811116807
319	0.8109490243
320	0.8107470011
321	0.8105587087
322	0.810386973
323	0.8101812746
324	0.8100130531
325	0.8097131619
326	0.8095944821
327	0.809474812
328	0.8092297434
329	0.8090634873
330	0.8089319533
331	0.8087675013
332	0.8085556454
333	0.8083760659
334	0.808189198
335	0.8080353471
336	0.8078114696
337	0.8076146301
338	0.8075214331
339	0.8074426497
340	0.8072394213
341	0.8071123275
342	0.8069798988
343	0.8067991171
344	0.8067177907
345	0.8065572652
346	0.8063761345
347	0.8062039126
348	0.8060180374
349	0.8058932341
350	0.8056961282
351	0.8054568444
352	0.8052165852
353	0.8050276682
354	0.8048064993
355	0.8046560159
356	0.8043695349
357	0.80420421
358	0.8040735702
359	0.8038856613
360	0.8036641729
361	0.8034802938
362	0.8033456382
363	0.8032711652
364	0.8030909542
365	0.8029039991
366	0.8027302132
367	0.8025506055
368	0.8024113669
369	0.8022128187
370	0.80206699
371	0.8018365165
372	0.8017564756
373	0.8015728807
374	0.8015090532
375	0.8014396696
376	0.8013231019
377	0.8012277796
378	0.8010311004
379	0.8008176923
380	0.800609359
381	0.8004400537
382	0.8002731408
383	0.8002224268
384	0.8000742878
385	0.7999687387
386	0.7997516267
387	0.7995959106
388	0.7994419787
389	0.7993353344
390	0.7991684033
391	0.7990173084
392	0.7988607628
393	0.7987979411
394	0.798629593
395	0.7984368767
396	0.7982268367
397	0.7981060358
398	0.797925336
399	0.7977337731
400	0.7975185256
401	0.7974640145
402	0.7972856783
403	0.797226538
404	0.7971011028
405	0.7969960777
406	0.7968055601
407	0.7966308993
408	0.7964996775
409	0.7962964424
410	0.7961243403
411	0.7959814706
412	0.795773636
413	0.7955620789
414	0.7953933506
415	0.7952626062
416	0.7951438015
417	0.7948893408
418	0.7946846553
419	0.7945176526
420	0.7942926391
421	0.7941746966
422	0.7940538343
423	0.7938841705
424	0.7938051808
425	0.7937528968
426	0.7934679767
427	0.7933718287
428	0.7932310153
429	0.7931213763
430	0.7930115977
431	0.7928428549
432	0.7927847169
433	0.7925749387
434	0.7924197358
435	0.7922956139
436	0.792203303
437	0.7921211333
438	0.7920123481
439	0.7917876791
440	0.7916313234
441	0.7915048883
442	0.7913900088
443	0.791247473
444	0.7911021331
445	0.7909089964
446	0.790749998
447	0.7905891246
448	0.790394284
449	0.7902000328
450	0.7900287933
451	0.7898754566
452	0.7897261586
453	0.7895614272
454	0.7893683919
455	0.7892229108
456	0.789062142
457	0.7889643546
458	0.788832659
459	0.7887563181
460	0.7885035709
461	0.7883373066
462	0.7881202362
463	0.7879890547
464	0.7878974327
465	0.787751087
466	0.7876308227
467	0.7875331055
468	0.7873774975
469	0.7872190483
470	0.7870753284
471	0.786874238
472	0.7867248958
473	0.7865421574
474	0.7864211995
475	0.7863029455
476	0.7861487662
477	0.7859422432
478	0.7857710463
479	0.7856239052
480	0.7854759534
481	0.785227734
482	0.785072774
483	0.7849172099
484	0.7847848692
485	0.7846494261
486	0.7845290417
487	0.7844054704
488	0.7843248167
489	0.7841776814
490	0.7840398252
491	0.7838366861
492	0.7835812642
493	0.7834505186
494	0.7832780213
495	0.7831697918
496	0.7830402286
497	0.7827919061
498	0.7826047478
499	0.7824641298
500	0.7823234776
501	0.7822115231
502	0.7820767242
503	0.7818928601
504	0.7817249477
505	0.7815866217
506	0.7815154492
507	0.7813765402
508	0.781270185
509	0.7810879311
510	0.780954888
511	0.7807686501
512	0.7806244974
513	0.7805241745
514	0.7803840487
515	0.7802646372
516	0.7801470041
517	0.7800583263
518	0.7799033007
519	0.7798483972
520	0.7797485448
521	0.7796224569
522	0.7794222501
523	0.7792589107
524	0.7791621865
525	0.7789766984
526	0.7787987929
527	0.7785794914
528	0.7785249185
529	0.7783819347
530	0.7782028487
531	0.7781302416
532	0.7779830965
533	0.7778422543
534	0.7776936166
535	0.7775474278
536	0.7773243149
537	0.7771258988
538	0.7769213294
539	0.7767527152
540	0.7766301812
541	0.7765310166
542	0.7764875249
543	0.7763529696
544	0.7762598623
545	0.7760542374
546	0.7759328236
547	0.7758331331
548	0.7756951295
549	0.7755338071
550	0.7755042754
551	0.7753511727
552	0.7752842846
553	0.7751155104
554	0.7750404039
555	0.7749588847
556	0.7747737181
557	0.7746885631
558	0.7745672071
559	0.7743897795
560	0.7742819969
561	0.774158744
562	0.7739911813
563	0.7738800512
564	0.7737313537
565	0.7735950421
566	0.7734878821
567	0.7733241105
568	0.77317537
569	0.7730887073
570	0.7729974993
571	0.7728723204
572	0.7728164944
573	0.7727210344
574	0.7726027769
575	0.7725369678
576	0.7724166277
577	0.7722069676
578	0.7720542631
579	0.77183756
580	0.7717021462
581	0.7715590754
582	0.7713695043
583	0.7712717842
584	0.7711407131
585	0.7709506643
586	0.770793821
587	0.77066299
588	0.7705445783
589	0.7704156006
590	0.7702985385
591	0.7701856992
592	0.7700536812
593	0.7699464885
594	0.7697949102
595	0.7696672695
596	0.7695463597
597	0.7693830301
598	0.7692474244
599	0.7691702736
600	0.7690779459
601	0.7688962095
602	0.7687516446
603	0.7686459358
604	0.768538382
605	0.7683384082
606	0.7682228388
607	0.7681399837
608	0.768096695
609	0.7679441726
610	0.7678481864
611	0.7676955327
612	0.7675984063
613	0.7675558139
614	0.7674415277
615	0.7673656447
616	0.7672572636
617	0.7671411902
618	0.7669655669
619	0.7668832368
620	0.7666972731
621	0.7665505685
622	0.766463429
623	0.7662667195
624	0.7661875389
625	0.7661014583
626	0.7659359555
627	0.7658322572
628	0.765693317
629	0.7655573826
630	0.7653883947
631	0.7652169653
632	0.7650829096
633	0.7650227954
634	0.7649094379
635	0.7647595092
636	0.7646776163
637	0.7645204875
638	0.7643947888
639	0.7643117538
640	0.7642276187
641	0.7641881316
642	0.7640455325
643	0.763915099
644	0.7637683711
645	0.7636249907
646	0.7635256114
647	0.7633271268
648	0.7631944763
649	0.7629949778
650	0.762908754
651	0.7627828089
652	0.7625720941
653	0.7624931144
654	0.7623654093
655	0.7621723093
656	0.7620057556
657	0.7618835459
658	0.7617684276
659	0.7616131421
660	0.7614338267
661	0.7612447645
662	0.7611711011
663	0.7610793562
664	0.7609221156
665	0.7607321066
666	0.7606164065
667	0.760432692
668	0.7602993934
669	0.7601471164
670	0.7600363233
671	0.7598911244
672	0.7597777365
673	0.7596350626
674	0.7595587678
675	0.7594757081
676	0.7593440963
677	0.7591655704
678	0.7591077098
679	0.7589686529
680	0.7588808042
681	0.7587634857
682	0.7586139148
683	0.7585042138
684	0.7584026974
685	0.7582727048
686	0.7581386438
687	0.7580158285
688	0.7578758585
689	0.7577313706
690	0.7576288339
691	0.7574576256
692	0.7573649797
693	0.7572096431
694	0.7570374175
695	0.7569217862
696	0.7567714907
697	0.7566105406
698	0.7565163735
699	0.7564259827
700	0.7563255515
701	0.7562002989
702	0.7561120082
703	0.7559975732
704	0.755884826
705	0.755781535
706	0.755626688
707	0.7555009434
708	0.7553735941
709	0.7552537923
710	0.7551160221
711	0.7549805138
712	0.7548329478
713	0.7547434239
714	0.7546269026
715	0.7544472787
716	0.754372905
717	0.7542293401
718	0.7541272658
719	0.7540185544
720	0.7538653436
721	0.7538052317
722	0.753708786
723	0.7535622697
724	0.7534326018
725	0.7533236396
726	0.7532113717
727	0.7531329873
728	0.7529650727
729	0.7528913525
730	0.7527466357
731	0.7526280488
732	0.7525238892
733	0.7524196025
734	0.7523362701
735	0.7522107353
736	0.7520885054
737	0.7519308622
738	0.7518694304
739	0.7516974595
740	0.7516179334
741	0.7514582073
742	0.7513498295
743	0.7512493402
744	0.7511240219
745	0.7510500674
746	0.7508885918
747	0.7507654876
748	0.7506309391
749	0.7505256941
750	0.7504400187
751	0.7503262227
752	0.7502875783
753	0.750206662
754	0.7500902397
755	0.7499881966
756	0.7499039644
757	0.7498191411
758	0.7497425079
759	0.7496155336
760	0.7495598814
761	0.7494168513
762	0.7492662429
763	0.7491330134
764	0.7490004565
765	0.7489613332
766	0.7489209198
767	0.7488158932
768	0.7486435361
769	0.7485261944
770	0.7484411322
771	0.7483354068
772	0.7482123877
773	0.7481582629
774	0.7480803165
775	0.7479763844
776	0.7478369492
777	0.7477152792
778	0.7475950619
779	0.747487925
780	0.747333044
781	0.7472057205
782	0.7471368773
783	0.7470482999
784	0.7469714426
785	0.7469125547
786	0.7468255437
787	0.7467086702
788	0.7466345265
789	0.7465796981
790	0.746491683
791	0.74641192
792	0.7462793055
793	0.7461364534
794	0.7460469224
795	0.7458621601
796	0.7457478615
797	0.7456112879
798	0.7455165039
