iter	Passed	Remaining
0	61	61470
1	63	31829
2	65	21862
3	68	16942
4	70	13947
5	72	11940
6	74	10507
7	75	9417
8	78	8608
9	80	7946
10	82	7379
11	83	6909
12	85	6518
13	87	6179
14	89	5901
15	91	5655
16	93	5428
17	96	5239
18	98	5070
19	100	4916
20	102	4776
21	104	4644
22	106	4515
23	108	4392
24	109	4283
25	111	4187
26	113	4097
27	115	4011
28	117	3931
29	119	3855
30	121	3784
31	123	3727
32	125	3667
33	127	3627
34	129	3572
35	131	3518
36	133	3472
37	135	3435
38	137	3392
39	139	3348
40	141	3305
41	143	3270
42	145	3235
43	147	3203
44	149	3169
45	151	3134
46	153	3111
47	155	3085
48	157	3062
49	160	3046
50	162	3018
51	164	2995
52	166	2973
53	168	2951
54	171	2941
55	173	2921
56	175	2900
57	177	2881
58	179	2868
59	182	2857
60	185	2852
61	187	2836
62	189	2820
63	192	2808
64	194	2794
65	196	2780
66	198	2770
67	200	2752
68	202	2737
69	205	2727
70	207	2716
71	210	2707
72	212	2695
73	214	2684
74	217	2677
75	219	2669
76	222	2663
77	224	2652
78	226	2644
79	230	2647
80	232	2642
81	235	2636
82	239	2650
83	243	2656
84	249	2685
85	254	2708
86	259	2718
87	262	2724
88	266	2732
89	270	2738
90	273	2734
91	277	2734
92	280	2734
93	284	2739
94	286	2731
95	289	2724
96	292	2726
97	295	2723
98	298	2715
99	301	2717
100	306	2724
101	310	2730
102	313	2727
103	316	2725
104	319	2719
105	321	2711
106	323	2703
107	326	2695
108	328	2688
109	331	2681
110	333	2674
111	336	2668
112	339	2665
113	342	2659
114	344	2652
115	347	2644
116	349	2640
117	352	2637
118	356	2636
119	358	2631
120	361	2623
121	363	2616
122	366	2609
123	368	2601
124	370	2593
125	372	2586
126	375	2580
127	377	2570
128	379	2562
129	381	2555
130	383	2547
131	386	2539
132	388	2531
133	390	2523
134	392	2517
135	395	2512
136	398	2512
137	401	2505
138	403	2496
139	405	2490
140	407	2481
141	409	2472
142	411	2464
143	413	2460
